@relation 'all-weka.filters.unsupervised.attribute.NumericToNominal-R2-weka.filters.unsupervised.attribute.Remove-R1,9-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0'

@attribute Survived {0,1}
@attribute Pclass numeric
@attribute Sex {male,female}
@attribute Age numeric
@attribute SibSp numeric
@attribute Parch numeric
@attribute Fare numeric
@attribute Embarked {S,C,Q}

@data
1,0,male,0.748681,0.125,0.166667,0.154588,C
0,1,male,0.271174,0,0,0.015713,S
0,1,male,?,0,0,0.015713,S
0,1,male,0.434531,0,0,0.013907,S
1,0,female,0.648153,0.125,0,0.152766,C
0,1,male,0.585323,0,0,0.014151,S
0,1,female,?,0,0.333333,0.015127,Q
0,0.5,male,0.459663,0.125,0,0.050749,S
0,1,male,0.447097,0.125,0.166667,0.047138,S
1,0.5,female,?,0,0,0.064412,S
0,1,male,0.610455,0,0,0,S
0,1,male,?,0,0,0.014102,C
1,0,male,0.610455,0.125,0,0.111118,C
1,0.5,female,0.296306,0.25,0.166667,0.0527,S
0,1,male,?,0,0,0.015412,S
0,0,male,?,0,0,0.082759,S
0,1,male,0.547625,0,0,0.015713,S
1,0,male,0.434531,0,0,0.051822,C
0,1,male,0.447097,0.125,0,0.030352,S
0,1,male,0.371701,0,0,0.015412,S
1,0,male,0.334004,0,0,0.059532,S
1,0.5,female,0.271174,0.125,0.333333,0.081157,C
1,0,female,0.497361,0,0,0.299539,S
0,1,female,0.484795,0.125,0.833333,0.061045,S
0,1,male,?,0,0,0.013761,S
1,1,female,?,0.125,0,0.030254,Q
0,1,male,?,0,0,0.015127,Q
0,1,male,0.434531,0,0,0.015713,S
1,0.5,female,0.296306,0.125,0.333333,0.126872,S
0,1,male,0.421965,0.125,0.166667,0.028107,S
0,1,female,0.321438,0.125,0,0.031425,S
1,0.5,female,0.044986,0.25,0.166667,0.076123,S
0,0.5,male,0.321438,0,0,0.020495,S
0,1,male,0.334004,0.125,0,0.028213,C
1,0,male,0.522493,0.125,0,0.102579,S
1,1,male,0.246042,0.125,0.166667,0.030726,C
0,1,male,0.258608,0,0,0.01533,S
0,1,male,0.258608,0,0,0.031425,S
0,0,male,0.761247,0,0,0.063086,S
0,0.5,male,0.710983,0,0,0.024106,Q
1,0,female,0.258608,0,0,0.152164,S
0,1,male,0.321438,0,0,0.015412,S
0,1,male,?,0,0,0.015094,Q
1,0,male,1,0,0,0.058556,S
0,1,male,0.635587,0,0,0.013769,S
1,0,male,0.396833,0,0,0.059532,C
0,0,male,?,0,0,0,S
0,1,female,0.107816,0.375,0.333333,0.054457,S
1,0.5,female,0.346569,0,0,0.025374,S
0,1,male,0.396833,0,0,0.015469,S
0,0.5,male,0.384267,0.125,0.166667,0.051237,S
0,1,female,0.509927,0,0.833333,0.077465,S
0,1,male,?,0.125,0,0.031425,S
0,1,male,0.246042,0,0,0.01533,S
1,0,female,0.296306,0,0,0.135265,C
0,1,female,0.019854,0.375,0.333333,0.054457,S
1,1,male,?,0,0,0.110272,S
1,1,female,0.004147,0.25,0.166667,0.03759,C
1,0,male,0.597889,0.125,0,0.149765,C
0,1,male,0.233476,0,0,0.015412,S
1,0,male,0.698417,0,0,0.069291,C
0,1,male,?,0,0,0.014737,S
1,1,female,0.28374,0,0,0.014737,S
0,1,male,?,0,0,0.015412,S
1,0.5,female,0.22091,0,0.166667,0.044893,S
0,1,male,0.258608,0,0,0.016461,S
1,1,female,?,0,0,0.015282,Q
0,1,female,0.22091,0,0,0.013175,Q
0,0.5,male,0.296306,0.25,0,0.143462,S
0,1,male,?,0,0,0.015412,S
0,1,female,0.396833,0.125,0.166667,0.030254,Q
0,0.5,male,0.28374,0,0,0.025374,S
0,0,male,0.723549,0,0.333333,0.221098,C
1,0,male,0.623021,0.25,0,0.260867,S
0,1,male,0.497361,0,0,0.014102,C
0,0,male,0.585323,0,0,0.049943,S
0,1,male,0.447097,0,0,0.014631,S
1,1,male,0.246042,0.125,0,0.015469,S
0,0.5,male,0.396833,0.25,0,0.143462,S
0,0.5,male,0.308872,0,0,0.025374,S
0,1,male,?,0,0,0.015176,S
0,1,male,0.535059,0,0,0.015713,S
1,0,female,?,0.125,0,0.101497,S
1,0.5,female,0.497361,0.125,0.166667,0.076123,S
0,0,male,0.384267,0.125,0,0.101497,S
0,0.5,male,0.87434,0,0,0.020495,S
1,0.5,male,0.384267,0,0,0.025374,S
0,0.5,male,?,0,0,0,S
0,1,male,0.22091,0,0,0.015176,S
0,1,male,0.302589,0,0,0.015713,S
1,1,female,0.22091,0,0,0.01921,S
0,1,female,0.535059,0.125,1,0.091543,S
1,0,male,0.447097,0,0.166667,1,C
0,1,female,?,0,0,0.015883,Q
1,0,male,0.334004,0,0,0.149765,C
0,1,male,0.246042,0,0,0.018006,S
0,1,male,0.170646,0.625,0.333333,0.091543,S
0,0.5,male,0.748681,0.125,0.166667,0.076123,S
0,0.5,male,0.308872,0.125,0.333333,0.081157,C
0,1,male,0.170646,0.5,0.166667,0.077465,S
0,1,male,0.233476,0,0,0.019852,S
0,1,male,0.22091,0,0,0.015216,S
1,0,female,0.183212,0,0.166667,0.412503,S
1,0,male,0.384267,0.125,0,0.111257,S
1,1,female,0.044986,0,0.166667,0.026188,C
1,1,male,?,0,0,0.110272,S
0,1,male,0.308872,0,0,0.014102,C
0,0,male,0.748681,0,0,0.051822,S
0,0.5,male,0.648153,0,0,0.02635,S
0,1,male,0.547625,0,0,0.015713,S
1,1,female,?,0,0,0.015094,Q
0,0,male,0.610455,0.125,0.166667,0.21643,C
0,1,male,0.522493,0,0,0.014932,S
1,0,female,0.22091,0.125,0,0.444099,C
1,0,male,0.434531,0,0,0.05131,S
0,1,female,0.22091,0,0.166667,0.028213,C
0,1,male,0.308872,0,0,0.015111,Q
0,1,male,0.321438,0.125,0,0.01533,S
0,0.5,male,0.484795,0,0,0.050749,S
1,0.5,female,0.560191,0,0,0.02635,S
1,0,male,0.522493,0,0,0.05131,S
1,0,female,0.271174,0,0,0.295806,S
1,1,male,?,0.125,0.166667,0.029758,C
1,0,female,0.296306,0,0,0.096626,C
0,0,male,?,0,0,0.051822,S
1,0,male,0.597889,0.125,0,0.101497,S
0,1,male,0.359135,0,0,0.01851,S
0,0.5,male,0.648153,0,0,0.025374,S
0,1,male,0.233476,0,0,0.014932,S
1,0,female,0.472229,0,0,0.444099,C
1,0.5,female,0.334004,0,0,0.020495,S
0,1,male,?,0,0,0.030254,Q
0,1,male,0.409399,0,0,0.015176,S
1,0.5,female,0.070118,0,0.166667,0.064412,S
0,1,male,0.208344,0.125,0,0.013769,S
0,0.5,male,0.421965,0,0,0.025374,S
0,0.5,male,0.623021,0,0,0.025374,S
1,0,male,0.334004,0.125,0,0.103644,S
0,1,male,0.246042,0,0,0.016908,S
1,0.5,female,0.371701,0.375,0,0.040989,S
1,1,female,?,0,0,0.015103,Q
0,0.5,male,0.308872,0.125,0,0.050749,S
0,1,female,0.308872,0.125,0,0.015469,S
1,0,female,0.359135,0,0,0.412503,S
0,1,male,0.132948,0,0,0.036671,C
0,0.5,male,?,0,0,0,S
0,0.5,male,0.28374,0,0,0.025374,S
0,0.5,male,0.28374,0,0,0.025374,S
0,1,male,0.352852,0,0,0.031425,S
0,1,female,0.597889,0.125,0.5,0.067096,S
1,0,male,0.434531,0,0,1,C
0,1,male,?,0,0,0.015412,S
0,1,male,?,0,0,0.015412,S
1,0,male,?,0,0,0.058556,S
0,0,male,0.447097,0.125,0,0.153905,S
1,0,female,0.258608,0.25,0.333333,0.512122,C
0,1,male,0.296306,0.125,0,0.031425,S
1,1,male,0.384267,0,0,0.015469,S
0,0,male,0.87434,0.125,0.166667,0.138583,S
0,1,male,0.195778,0.125,0.166667,0.039525,S
1,0.5,female,0.371701,0,0,0.025374,S
0,0,male,0.233476,0.125,0,0.103644,S
0,1,male,0.384267,0,0,0.015127,Q
1,0.5,female,0.044986,0.125,0.166667,0.044893,S
1,1,male,0.070118,0,0.166667,0.02435,S
0,1,male,0.409399,0,0,0.018543,S
0,1,male,0.28374,0,0,0.015412,S
1,0.5,female,0.597889,0.125,0.333333,0.126872,S
1,0.5,male,0.003141,0.125,0.166667,0.028302,S
0,1,male,0.346569,0,0,0.015216,S
0,0.5,male,0.22091,0,0,0.022447,S
0,1,male,0.421965,0,0,0.015713,S
1,0,female,0.409399,0,0,0.168837,S
0,1,male,?,0,0,0.028302,S
0,1,male,0.509927,0,0,0.013907,S
1,1,male,0.246042,0,0,0.01411,C
1,0,female,0.447097,0.125,0.333333,0.234224,S
0,1,male,0.195778,0,0,0.015176,S
1,0,female,0.635587,0.125,0,0.152164,S
0,0,male,?,0,0,0.077294,C
0,1,female,0.377984,0,0,0.015127,Q
0,1,male,?,0.125,0,0.047138,Q
0,1,male,0.396833,0,0,0.016323,S
0,1,male,0.296306,0,0,0.018543,S
0,1,male,0.597889,0,0,0.01533,S
0,0.5,female,0.710983,0,0,0.020495,S
0,1,male,?,0,0,0.014102,C
1,0.5,female,0.673285,0.125,0.5,0.044893,S
0,1,male,0.22091,0,0,0.015127,S
0,1,male,?,0,0,0.015127,Q
1,1,female,0.057552,0,0,0.02435,S
0,1,male,?,0,0,0.015103,Q
1,0,female,0.535059,0,0.166667,0.412503,S
1,1,female,0.15808,0,0,0.01411,C
1,0,female,0.208344,0.125,0,0.111257,S
0,0,male,0.359135,0,0,0.058556,S
0,1,male,?,0.125,0.333333,0.045771,S
0,1,male,0.308872,0,0,0.013761,S
0,1,male,0.308872,0,0,0.014151,S
1,1,female,0.22091,0,0,0.014631,S
0,1,male,0.09525,0.5,0.166667,0.056848,Q
1,1,male,0.007288,0.125,0.333333,0.04016,S
0,0,male,0.572757,0,0,0.154588,C
0,1,male,?,0,0,0.015127,Q
0,0.5,male,0.195778,0,0,0.050749,S
0,1,female,?,1,0.333333,0.135753,S
0,0,male,?,0,0,0.059914,C
0,1,male,0.308872,0,0,0.015412,S
0,0.5,male,0.484795,0,0,0.025374,S
1,0,female,0.610455,0,0,0.05061,S
1,1,female,0.384267,0,0,0.016949,S
0,1,male,0.371701,0,0,0.01411,C
0,1,female,0.371701,0.125,0.166667,0.047138,S
0,0.5,male,0.421965,0,0,0.025374,S
1,0.5,female,0.384267,0.125,0.166667,0.051237,S
1,0,male,0.132948,0.125,0.333333,0.234224,S
1,1,male,0,0,0.166667,0.016623,C
1,1,male,0.334004,0,0,0.013614,S
0,1,male,0.384267,0,0,0.015176,S
0,0,male,0.484795,0,0,0,S
0,1,female,0.22091,0,0,0.015176,S
0,0.5,male,0.484795,0,0,0.025374,S
1,0,female,0.409399,0.125,0,0.103644,S
0,1,male,0.321438,0,0,0.015395,S
0,1,male,0.484795,0,0,0.047138,S
0,0.5,male,0.434531,0,0,0.020495,S
0,1,female,0.070118,0.5,0.333333,0.061045,S
0,1,male,0.377984,0,0,0.015713,S
0,0,male,?,0,0,0,S
0,1,female,0.28374,0,0,0.015469,S
0,0.5,male,0.384267,0.125,0.166667,0.072227,C
0,1,male,0.535059,0,0,0.01259,S
0,1,male,0.120382,0.375,0.333333,0.054457,S
1,0,female,0.648153,0.125,0.166667,0.1825,S
1,1,male,0.334004,0,0,0.016908,S
0,0,male,0.472229,0,0,0,S
1,1,female,0.334004,0,0.166667,0.02435,S
0,1,male,0.019854,0.5,0.166667,0.077465,S
0,1,male,?,0,0,0.013565,Q
0,1,male,?,0,0,0.110272,S
1,0.5,male,0.007288,0,0.333333,0.072227,C
1,1,male,?,0,0,0.015127,Q
1,0,female,0.773813,0,0,0.15615,?
1,1,female,0.183212,0.125,0,0.028213,C
1,0.5,male,0.005152,0.125,0.166667,0.036598,S
0,1,male,?,0,0,0.01411,C
0,1,male,0.28374,0,0,0.01533,S
0,1,male,0.22091,0,0,0.016201,S
1,0,female,0.484795,0.125,0.166667,0.162314,C
0,1,male,0.258608,0,0,0.016908,S
0,1,male,?,0,0,0.015713,S
1,1,male,0.396833,0,0,0.110272,S
1,0,male,?,0,0,0.057971,C
0,1,male,0.246042,0,0,0.015469,S
0,0.5,male,0.195778,0,0,0.020495,S
1,0,female,0.371701,0,0,0.060508,C
0,1,male,0.428248,0,0,0.012565,C
0,1,male,0.208344,0,0,0.016908,S
0,1,male,0.522493,0,0,0.014737,S
0,1,male,?,1,0.333333,0.135753,S
0,1,male,0.434531,0,0,0.015412,C
0,0.5,male,0.346569,0,0.166667,0.064412,S
1,0,female,?,0.125,0,0.17392,C
0,1,male,0.044986,0.5,0.333333,0.061045,S
0,1,male,0.924604,0,0,0.015176,S
0,1,female,0.107816,0.125,0.166667,0.029758,C
1,0,female,0.195778,0,0.166667,0.076904,S
0,0.5,female,0.547625,0.125,0,0.050749,S
1,1,female,0.22091,0,0.166667,0.01825,S
1,0,female,0.560191,0.125,0.166667,0.321798,S
1,0,male,0.635587,0,0,0.051822,S
1,1,female,0.296306,0,0.5,0.03759,C
0,1,male,?,0,0,0.01411,C
0,1,male,0.509927,0.25,0,0.027538,S
0,0.5,male,0.258608,0.125,0,0.022447,S
1,0,female,0.597889,0,0,0.05061,S
0,1,female,?,1,0.333333,0.135753,S
0,0.5,male,0.296306,0,0,0.025374,S
1,0.5,female,0.522493,0,0,0.025374,S
1,0.5,female,0.334004,0.125,0,0.02705,C
0,0,male,0.384267,0,0,0.098561,S
0,1,male,?,0,0,0.018543,S
1,1,male,0.044986,0.125,0.166667,0.021731,S
0,1,male,0.321438,0,0,0.015412,S
1,0,female,0.585323,0.125,0.166667,0.102579,S
0,0,male,0.409399,0,0,0.009759,S
0,1,male,0.585323,0,0,0.017567,S
1,0.5,female,0.346569,0.125,0,0.046845,C
1,1,female,0.183212,0,0,0.014102,C
0,1,male,0.246042,0,0,0.019218,S
0,1,male,0.233476,0,0,0.015412,S
0,1,male,?,0,0,0.015412,S
1,0,female,0.698417,0,0.166667,0.162314,C
1,0.5,female,0.308872,0,0.166667,0.050749,S
0,1,male,0.409399,0,0,0.015412,S
0,1,female,0.271174,0,0,0.020527,S
0,0.5,male,0.346569,0,0,0.020495,S
0,1,male,0.308872,0,0,0.013761,S
0,1,female,0.484795,0,0.833333,0.056848,Q
0,0.5,male,0.334004,0,0,0.025374,S
1,0,female,0.233476,0,0,0.058556,S
0,1,female,?,0.125,0.333333,0.045771,S
1,0,male,0.321438,0,0,0.058556,C
0,1,male,0.396833,0,0,0.015127,Q
