ID,year,mo,month,quarter,st,state,country,product,category,unit_price,unit,amount
727,2014,9,Sep,Q3,NY,New York,USA,Chair,Furniture,120,29,3480
728,2013,5,May,Q2,NY,New York,USA,Chair,Furniture,120,31,3720
729,2013,12,Dec,Q4,CA,California,USA,Chair,Furniture,120,16,1920
730,2014,5,May,Q2,NY,New York,USA,Chair,Furniture,120,25,3000
731,2013,7,Jul,Q3,NY,New York,USA,Tablet,Electronic,500,29,14500
732,2014,10,Oct,Q4,ON,Ontario,Canada,Tablet,Electronic,500,13,6500
733,2014,4,Apr,Q2,QU,Quebec,Canada,Chair,Furniture,120,42,5040
734,2014,7,Jul,Q3,QU,Quebec,Canada,Chair,Furniture,120,63,7560
735,2013,4,Apr,Q2,NY,New York,USA,Laptop,Electronic,1000,58,58000
736,2014,11,Nov,Q4,CA,California,USA,Tablet,Electronic,500,30,15000
737,2013,2,Feb,Q1,WA,Washington,USA,Chair,Furniture,120,42,5040
738,2014,1,Jan,Q1,CA,California,USA,Tablet,Electronic,500,32,16000
739,2013,9,Sep,Q3,CA,California,USA,Tablet,Electronic,500,56,28000
740,2013,10,Oct,Q4,WA,Washington,USA,Chair,Furniture,120,30,3600
741,2013,7,Jul,Q3,ON,Ontario,Canada,Tablet,Electronic,500,37,18500
742,2014,10,Oct,Q4,ON,Ontario,Canada,Chair,Furniture,120,13,1560
743,2013,3,Mar,Q1,ON,Ontario,Canada,Tablet,Electronic,500,31,15500
744,2013,2,Feb,Q1,CA,California,USA,Chair,Furniture,120,4,480
745,2014,1,Jan,Q1,NY,New York,USA,Mattress,Furniture,800,14,11200
746,2014,6,Jun,Q2,NY,New York,USA,Tablet,Electronic,500,53,26500
747,2014,1,Jan,Q1,NY,New York,USA,Mattress,Furniture,800,8,6400
748,2014,11,Nov,Q4,NY,New York,USA,Laptop,Electronic,1000,11,11000
749,2014,8,Aug,Q3,QU,Quebec,Canada,Tablet,Electronic,500,56,28000
750,2013,1,Jan,Q1,CA,California,USA,Mattress,Furniture,800,58,46400
751,2013,11,Nov,Q4,WA,Washington,USA,Mattress,Furniture,800,30,24000
752,2014,1,Jan,Q1,NY,New York,USA,Chair,Furniture,120,30,3600
753,2013,3,Mar,Q1,CA,California,USA,Chair,Furniture,120,1,120
754,2014,7,Jul,Q3,NY,New York,USA,Tablet,Electronic,500,9,4500
755,2013,8,Aug,Q3,NY,New York,USA,Chair,Furniture,120,21,2520
756,2014,6,Jun,Q2,CA,California,USA,Laptop,Electronic,1000,52,52000
757,2013,1,Jan,Q1,CA,California,USA,Laptop,Electronic,1000,45,45000
758,2013,6,Jun,Q2,NY,New York,USA,Chair,Furniture,120,19,2280
759,2014,10,Oct,Q4,WA,Washington,USA,Tablet,Electronic,500,48,24000
760,2013,6,Jun,Q2,CA,California,USA,Mattress,Furniture,800,10,8000
761,2014,6,Jun,Q2,NY,New York,USA,Printer,Electronic,200,0,0
762,2014,10,Oct,Q4,NY,New York,USA,Chair,Furniture,120,5,600
763,2014,12,Dec,Q4,NY,New York,USA,Chair,Furniture,120,35,4200
764,2014,3,Mar,Q1,QU,Quebec,Canada,Chair,Furniture,120,46,5520
765,2013,10,Oct,Q4,CA,California,USA,Tablet,Electronic,500,51,25500
766,2014,12,Dec,Q4,CA,California,USA,Chair,Furniture,120,22,2640
767,2013,4,Apr,Q2,QU,Quebec,Canada,Chair,Furniture,120,11,1320
768,2014,7,Jul,Q3,CA,California,USA,Printer,Electronic,200,45,9000
769,2013,11,Nov,Q4,QU,Quebec,Canada,Chair,Furniture,120,37,4440
770,2014,9,Sep,Q3,CA,California,USA,Chair,Furniture,120,16,1920
771,2014,3,Mar,Q1,CA,California,USA,Printer,Electronic,200,47,9400
772,2013,3,Mar,Q1,ON,Ontario,Canada,Chair,Furniture,120,37,4440
773,2014,6,Jun,Q2,QU,Quebec,Canada,Tablet,Electronic,500,13,6500
774,2013,9,Sep,Q3,CA,California,USA,Chair,Furniture,120,40,4800
775,2014,9,Sep,Q3,ON,Ontario,Canada,Tablet,Electronic,500,18,9000
776,2014,12,Dec,Q4,CA,California,USA,Chair,Furniture,120,63,7560
777,2013,3,Mar,Q1,NY,New York,USA,Tablet,Electronic,500,55,27500
778,2013,2,Feb,Q1,WA,Washington,USA,Chair,Furniture,120,37,4440
779,2014,12,Dec,Q4,NY,New York,USA,Chair,Furniture,120,51,6120
780,2014,11,Nov,Q4,ON,Ontario,Canada,Tablet,Electronic,500,41,20500
781,2013,10,Oct,Q4,QU,Quebec,Canada,Chair,Furniture,120,64,7680
782,2014,12,Dec,Q4,NY,New York,USA,Laptop,Electronic,1000,11,11000
783,2013,5,May,Q2,CA,California,USA,Chair,Furniture,120,48,5760
784,2013,12,Dec,Q4,CA,California,USA,Chair,Furniture,120,39,4680
785,2014,11,Nov,Q4,NY,New York,USA,Tablet,Electronic,500,24,12000
786,2013,1,Jan,Q1,QU,Quebec,Canada,Chair,Furniture,120,64,7680
787,2014,3,Mar,Q1,CA,California,USA,Chair,Furniture,120,3,360
788,2013,11,Nov,Q4,ON,Ontario,Canada,Tablet,Electronic,500,22,11000
789,2013,8,Aug,Q3,WA,Washington,USA,Chair,Furniture,120,15,1800
790,2013,4,Apr,Q2,WA,Washington,USA,Laptop,Electronic,1000,17,17000
791,2013,1,Jan,Q1,QU,Quebec,Canada,Chair,Furniture,120,23,2760
792,2014,4,Apr,Q2,CA,California,USA,Laptop,Electronic,1000,1,1000
793,2013,3,Mar,Q1,NY,New York,USA,Printer,Electronic,200,36,7200
794,2014,10,Oct,Q4,QU,Quebec,Canada,Tablet,Electronic,500,24,12000
795,2013,4,Apr,Q2,CA,California,USA,Tablet,Electronic,500,18,9000
796,2014,11,Nov,Q4,CA,California,USA,Tablet,Electronic,500,63,31500
797,2014,3,Mar,Q1,NY,New York,USA,Chair,Furniture,120,57,6840
798,2013,10,Oct,Q4,CA,California,USA,Chair,Furniture,120,48,5760
799,2013,10,Oct,Q4,CA,California,USA,Chair,Furniture,120,66,7920
800,2014,6,Jun,Q2,QU,Quebec,Canada,Laptop,Electronic,1000,66,66000
801,2013,7,Jul,Q3,WA,Washington,USA,Chair,Furniture,120,64,7680
802,2013,7,Jul,Q3,WA,Washington,USA,Chair,Furniture,120,30,3600
803,2014,8,Aug,Q3,CA,California,USA,Chair,Furniture,120,26,3120
804,2014,2,Feb,Q1,ON,Ontario,Canada,Chair,Furniture,120,35,4200
805,2013,7,Jul,Q3,CA,California,USA,Chair,Furniture,120,61,7320
806,2014,10,Oct,Q4,QU,Quebec,Canada,Mattress,Furniture,800,12,9600
807,2014,1,Jan,Q1,NY,New York,USA,Tablet,Electronic,500,13,6500
808,2014,2,Feb,Q1,NY,New York,USA,Chair,Furniture,120,55,6600
809,2014,10,Oct,Q4,WA,Washington,USA,Chair,Furniture,120,4,480
810,2014,11,Nov,Q4,NY,New York,USA,Chair,Furniture,120,14,1680
811,2013,9,Sep,Q3,CA,California,USA,Chair,Furniture,120,23,2760
812,2014,3,Mar,Q1,QU,Quebec,Canada,Tablet,Electronic,500,34,17000
813,2014,7,Jul,Q3,CA,California,USA,Laptop,Electronic,1000,54,54000
814,2014,2,Feb,Q1,NY,New York,USA,Chair,Furniture,120,26,3120
815,2014,11,Nov,Q4,QU,Quebec,Canada,Chair,Furniture,120,15,1800
816,2014,11,Nov,Q4,ON,Ontario,Canada,Chair,Furniture,120,63,7560
817,2013,12,Dec,Q4,CA,California,USA,Chair,Furniture,120,36,4320
818,2013,10,Oct,Q4,CA,California,USA,Laptop,Electronic,1000,35,35000
819,2014,10,Oct,Q4,ON,Ontario,Canada,Chair,Furniture,120,23,2760
820,2013,7,Jul,Q3,NY,New York,USA,Chair,Furniture,120,17,2040
821,2014,7,Jul,Q3,CA,California,USA,Chair,Furniture,120,66,7920
822,2014,5,May,Q2,CA,California,USA,Chair,Furniture,120,0,0
823,2014,7,Jul,Q3,NY,New York,USA,Chair,Furniture,120,34,4080
824,2013,6,Jun,Q2,NY,New York,USA,Chair,Furniture,120,55,6600
825,2013,3,Mar,Q1,CA,California,USA,Tablet,Electronic,500,50,25000
826,2013,11,Nov,Q4,WA,Washington,USA,Chair,Furniture,120,17,2040
827,2014,2,Feb,Q1,QU,Quebec,Canada,Printer,Electronic,200,7,1400
828,2014,1,Jan,Q1,NY,New York,USA,Laptop,Electronic,1000,27,27000
829,2013,12,Dec,Q4,CA,California,USA,Mattress,Furniture,800,53,42400
830,2013,6,Jun,Q2,QU,Quebec,Canada,Chair,Furniture,120,63,7560
831,2014,5,May,Q2,WA,Washington,USA,Tablet,Electronic,500,64,32000
832,2013,6,Jun,Q2,QU,Quebec,Canada,Laptop,Electronic,1000,25,25000
833,2014,4,Apr,Q2,NY,New York,USA,Chair,Furniture,120,35,4200
834,2014,10,Oct,Q4,CA,California,USA,Tablet,Electronic,500,37,18500
835,2013,8,Aug,Q3,CA,California,USA,Printer,Electronic,200,26,5200
836,2013,5,May,Q2,CA,California,USA,Printer,Electronic,200,60,12000
837,2013,6,Jun,Q2,WA,Washington,USA,Chair,Furniture,120,48,5760
838,2014,11,Nov,Q4,NY,New York,USA,Chair,Furniture,120,16,1920
839,2014,2,Feb,Q1,ON,Ontario,Canada,Chair,Furniture,120,26,3120
840,2013,12,Dec,Q4,QU,Quebec,Canada,Printer,Electronic,200,16,3200
841,2013,3,Mar,Q1,WA,Washington,USA,Chair,Furniture,120,27,3240
842,2014,2,Feb,Q1,NY,New York,USA,Laptop,Electronic,1000,19,19000
843,2013,2,Feb,Q1,ON,Ontario,Canada,Chair,Furniture,120,22,2640
844,2013,8,Aug,Q3,QU,Quebec,Canada,Tablet,Electronic,500,51,25500
845,2013,2,Feb,Q1,WA,Washington,USA,Laptop,Electronic,1000,31,31000
846,2013,10,Oct,Q4,QU,Quebec,Canada,Printer,Electronic,200,46,9200
847,2013,8,Aug,Q3,CA,California,USA,Laptop,Electronic,1000,56,56000
848,2014,5,May,Q2,WA,Washington,USA,Tablet,Electronic,500,41,20500
849,2014,3,Mar,Q1,QU,Quebec,Canada,Chair,Furniture,120,60,7200
850,2013,4,Apr,Q2,CA,California,USA,Laptop,Electronic,1000,48,48000
851,2013,4,Apr,Q2,ON,Ontario,Canada,Chair,Furniture,120,12,1440
852,2014,3,Mar,Q1,CA,California,USA,Tablet,Electronic,500,4,2000
853,2014,9,Sep,Q3,WA,Washington,USA,Tablet,Electronic,500,18,9000
854,2014,1,Jan,Q1,CA,California,USA,Laptop,Electronic,1000,22,22000
855,2014,10,Oct,Q4,NY,New York,USA,Chair,Furniture,120,10,1200
856,2013,3,Mar,Q1,WA,Washington,USA,Printer,Electronic,200,15,3000
857,2014,12,Dec,Q4,WA,Washington,USA,Chair,Furniture,120,25,3000
858,2013,1,Jan,Q1,WA,Washington,USA,Chair,Furniture,120,51,6120
859,2014,11,Nov,Q4,QU,Quebec,Canada,Tablet,Electronic,500,28,14000
860,2014,12,Dec,Q4,CA,California,USA,Chair,Furniture,120,16,1920
861,2014,2,Feb,Q1,NY,New York,USA,Printer,Electronic,200,45,9000
862,2013,6,Jun,Q2,NY,New York,USA,Chair,Furniture,120,3,360
863,2013,3,Mar,Q1,ON,Ontario,Canada,Chair,Furniture,120,20,2400
864,2014,11,Nov,Q4,NY,New York,USA,Laptop,Electronic,1000,59,59000
865,2013,7,Jul,Q3,CA,California,USA,Chair,Furniture,120,64,7680
866,2013,8,Aug,Q3,NY,New York,USA,Laptop,Electronic,1000,13,13000
867,2014,12,Dec,Q4,ON,Ontario,Canada,Tablet,Electronic,500,23,11500
868,2014,6,Jun,Q2,WA,Washington,USA,Chair,Furniture,120,11,1320
869,2014,12,Dec,Q4,WA,Washington,USA,Laptop,Electronic,1000,6,6000
870,2014,8,Aug,Q3,CA,California,USA,Chair,Furniture,120,35,4200
871,2013,5,May,Q2,NY,New York,USA,Chair,Furniture,120,4,480
872,2013,5,May,Q2,WA,Washington,USA,Tablet,Electronic,500,14,7000
873,2013,10,Oct,Q4,CA,California,USA,Tablet,Electronic,500,11,5500
874,2013,3,Mar,Q1,WA,Washington,USA,Laptop,Electronic,1000,35,35000
875,2014,8,Aug,Q3,CA,California,USA,Chair,Furniture,120,58,6960
876,2014,3,Mar,Q1,NY,New York,USA,Tablet,Electronic,500,7,3500
877,2014,8,Aug,Q3,ON,Ontario,Canada,Tablet,Electronic,500,30,15000
878,2014,5,May,Q2,WA,Washington,USA,Tablet,Electronic,500,34,17000
879,2014,10,Oct,Q4,NY,New York,USA,Laptop,Electronic,1000,18,18000
880,2014,3,Mar,Q1,CA,California,USA,Chair,Furniture,120,30,3600
881,2014,5,May,Q2,CA,California,USA,Chair,Furniture,120,12,1440
882,2014,3,Mar,Q1,WA,Washington,USA,Mattress,Furniture,800,34,27200
883,2013,3,Mar,Q1,NY,New York,USA,Mattress,Furniture,800,66,52800
884,2014,4,Apr,Q2,NY,New York,USA,Chair,Furniture,120,8,960
885,2014,6,Jun,Q2,NY,New York,USA,Printer,Electronic,200,40,8000
886,2013,3,Mar,Q1,WA,Washington,USA,Tablet,Electronic,500,20,10000
887,2013,3,Mar,Q1,CA,California,USA,Chair,Furniture,120,27,3240
888,2014,2,Feb,Q1,CA,California,USA,Mattress,Furniture,800,5,4000
889,2014,5,May,Q2,NY,New York,USA,Tablet,Electronic,500,60,30000
890,2013,1,Jan,Q1,QU,Quebec,Canada,Chair,Furniture,120,15,1800
891,2013,2,Feb,Q1,CA,California,USA,Printer,Electronic,200,50,10000
892,2014,8,Aug,Q3,WA,Washington,USA,Chair,Furniture,120,56,6720
893,2014,3,Mar,Q1,WA,Washington,USA,Chair,Furniture,120,52,6240
894,2013,4,Apr,Q2,NY,New York,USA,Chair,Furniture,120,63,7560
895,2013,7,Jul,Q3,WA,Washington,USA,Mattress,Furniture,800,8,6400
896,2013,5,May,Q2,CA,California,USA,Chair,Furniture,120,52,6240
897,2013,7,Jul,Q3,QU,Quebec,Canada,Chair,Furniture,120,35,4200
898,2013,11,Nov,Q4,QU,Quebec,Canada,Printer,Electronic,200,56,11200
899,2013,1,Jan,Q1,CA,California,USA,Tablet,Electronic,500,55,27500
900,2013,8,Aug,Q3,CA,California,USA,Tablet,Electronic,500,19,9500
901,2014,10,Oct,Q4,WA,Washington,USA,Chair,Furniture,120,50,6000
902,2014,6,Jun,Q2,WA,Washington,USA,Tablet,Electronic,500,19,9500
903,2014,3,Mar,Q1,QU,Quebec,Canada,Chair,Furniture,120,27,3240
904,2013,2,Feb,Q1,QU,Quebec,Canada,Mattress,Furniture,800,3,2400
905,2013,6,Jun,Q2,CA,California,USA,Chair,Furniture,120,8,960
906,2014,6,Jun,Q2,CA,California,USA,Mattress,Furniture,800,42,33600
907,2014,4,Apr,Q2,QU,Quebec,Canada,Chair,Furniture,120,35,4200
908,2013,11,Nov,Q4,QU,Quebec,Canada,Tablet,Electronic,500,20,10000
909,2014,11,Nov,Q4,WA,Washington,USA,Tablet,Electronic,500,46,23000
910,2014,8,Aug,Q3,NY,New York,USA,Chair,Furniture,120,11,1320
911,2014,4,Apr,Q2,CA,California,USA,Chair,Furniture,120,16,1920
912,2013,4,Apr,Q2,ON,Ontario,Canada,Tablet,Electronic,500,57,28500
913,2013,2,Feb,Q1,QU,Quebec,Canada,Tablet,Electronic,500,24,12000
914,2013,9,Sep,Q3,NY,New York,USA,Chair,Furniture,120,33,3960
915,2014,12,Dec,Q4,WA,Washington,USA,Printer,Electronic,200,53,10600
916,2014,4,Apr,Q2,NY,New York,USA,Chair,Furniture,120,3,360
917,2013,5,May,Q2,CA,California,USA,Mattress,Furniture,800,34,27200
918,2013,6,Jun,Q2,CA,California,USA,Mattress,Furniture,800,37,29600
919,2013,4,Apr,Q2,ON,Ontario,Canada,Chair,Furniture,120,65,7800
920,2013,1,Jan,Q1,CA,California,USA,Chair,Furniture,120,61,7320
921,2014,2,Feb,Q1,ON,Ontario,Canada,Chair,Furniture,120,33,3960
922,2014,4,Apr,Q2,NY,New York,USA,Printer,Electronic,200,29,5800
923,2014,3,Mar,Q1,ON,Ontario,Canada,Tablet,Electronic,500,43,21500
924,2013,4,Apr,Q2,ON,Ontario,Canada,Chair,Furniture,120,54,6480
925,2013,5,May,Q2,QU,Quebec,Canada,Chair,Furniture,120,27,3240
926,2013,10,Oct,Q4,CA,California,USA,Chair,Furniture,120,25,3000
927,2014,3,Mar,Q1,CA,California,USA,Printer,Electronic,200,55,11000
928,2014,4,Apr,Q2,CA,California,USA,Chair,Furniture,120,49,5880
929,2014,3,Mar,Q1,NY,New York,USA,Printer,Electronic,200,28,5600
930,2014,3,Mar,Q1,NY,New York,USA,Printer,Electronic,200,8,1600
931,2013,3,Mar,Q1,WA,Washington,USA,Tablet,Electronic,500,57,28500
932,2013,6,Jun,Q2,NY,New York,USA,Chair,Furniture,120,16,1920
933,2013,4,Apr,Q2,CA,California,USA,Chair,Furniture,120,46,5520
934,2014,2,Feb,Q1,QU,Quebec,Canada,Chair,Furniture,120,42,5040
935,2013,3,Mar,Q1,ON,Ontario,Canada,Printer,Electronic,200,12,2400
936,2014,4,Apr,Q2,CA,California,USA,Chair,Furniture,120,50,6000
937,2013,11,Nov,Q4,CA,California,USA,Mattress,Furniture,800,7,5600
938,2014,2,Feb,Q1,NY,New York,USA,Tablet,Electronic,500,66,33000
939,2013,9,Sep,Q3,CA,California,USA,Chair,Furniture,120,64,7680
940,2014,10,Oct,Q4,CA,California,USA,Mattress,Furniture,800,46,36800
941,2014,11,Nov,Q4,ON,Ontario,Canada,Printer,Electronic,200,35,7000
942,2014,9,Sep,Q3,ON,Ontario,Canada,Laptop,Electronic,1000,17,17000
943,2013,2,Feb,Q1,NY,New York,USA,Laptop,Electronic,1000,6,6000
944,2014,6,Jun,Q2,ON,Ontario,Canada,Tablet,Electronic,500,27,13500
945,2014,3,Mar,Q1,WA,Washington,USA,Chair,Furniture,120,29,3480
946,2013,9,Sep,Q3,QU,Quebec,Canada,Chair,Furniture,120,13,1560
947,2013,2,Feb,Q1,NY,New York,USA,Laptop,Electronic,1000,10,10000
948,2013,7,Jul,Q3,NY,New York,USA,Tablet,Electronic,500,26,13000
949,2014,1,Jan,Q1,ON,Ontario,Canada,Tablet,Electronic,500,29,14500
950,2014,1,Jan,Q1,NY,New York,USA,Laptop,Electronic,1000,10,10000
951,2014,4,Apr,Q2,CA,California,USA,Tablet,Electronic,500,17,8500
952,2014,12,Dec,Q4,ON,Ontario,Canada,Tablet,Electronic,500,17,8500
953,2013,1,Jan,Q1,ON,Ontario,Canada,Chair,Furniture,120,31,3720
954,2014,7,Jul,Q3,NY,New York,USA,Chair,Furniture,120,33,3960
955,2014,2,Feb,Q1,ON,Ontario,Canada,Printer,Electronic,200,46,9200
956,2013,12,Dec,Q4,QU,Quebec,Canada,Printer,Electronic,200,10,2000
957,2014,2,Feb,Q1,CA,California,USA,Chair,Furniture,120,61,7320
958,2013,5,May,Q2,ON,Ontario,Canada,Chair,Furniture,120,24,2880
959,2014,7,Jul,Q3,CA,California,USA,Chair,Furniture,120,28,3360
960,2014,8,Aug,Q3,ON,Ontario,Canada,Printer,Electronic,200,0,0
961,2013,3,Mar,Q1,CA,California,USA,Chair,Furniture,120,5,600
962,2014,1,Jan,Q1,NY,New York,USA,Mattress,Furniture,800,56,44800
963,2014,3,Mar,Q1,CA,California,USA,Tablet,Electronic,500,30,15000
964,2014,9,Sep,Q3,ON,Ontario,Canada,Mattress,Furniture,800,13,10400
965,2014,8,Aug,Q3,WA,Washington,USA,Tablet,Electronic,500,6,3000
966,2014,11,Nov,Q4,QU,Quebec,Canada,Chair,Furniture,120,27,3240
967,2014,6,Jun,Q2,CA,California,USA,Mattress,Furniture,800,17,13600
968,2014,11,Nov,Q4,NY,New York,USA,Tablet,Electronic,500,38,19000
969,2014,9,Sep,Q3,ON,Ontario,Canada,Chair,Furniture,120,64,7680
970,2013,10,Oct,Q4,QU,Quebec,Canada,Printer,Electronic,200,54,10800
971,2013,4,Apr,Q2,CA,California,USA,Chair,Furniture,120,11,1320
972,2014,10,Oct,Q4,CA,California,USA,Laptop,Electronic,1000,8,8000
973,2013,3,Mar,Q1,CA,California,USA,Chair,Furniture,120,8,960
974,2013,9,Sep,Q3,QU,Quebec,Canada,Laptop,Electronic,1000,11,11000
975,2013,12,Dec,Q4,CA,California,USA,Tablet,Electronic,500,11,5500
976,2013,12,Dec,Q4,NY,New York,USA,Chair,Furniture,120,43,5160
977,2014,3,Mar,Q1,NY,New York,USA,Chair,Furniture,120,23,2760
978,2014,6,Jun,Q2,NY,New York,USA,Laptop,Electronic,1000,20,20000
979,2013,7,Jul,Q3,QU,Quebec,Canada,Tablet,Electronic,500,12,6000
980,2013,11,Nov,Q4,CA,California,USA,Chair,Furniture,120,19,2280
981,2013,10,Oct,Q4,NY,New York,USA,Laptop,Electronic,1000,47,47000
982,2014,10,Oct,Q4,NY,New York,USA,Tablet,Electronic,500,19,9500
983,2014,7,Jul,Q3,CA,California,USA,Tablet,Electronic,500,3,1500
984,2013,11,Nov,Q4,WA,Washington,USA,Printer,Electronic,200,32,6400
985,2013,4,Apr,Q2,WA,Washington,USA,Laptop,Electronic,1000,47,47000
986,2013,11,Nov,Q4,NY,New York,USA,Laptop,Electronic,1000,16,16000
987,2013,12,Dec,Q4,ON,Ontario,Canada,Tablet,Electronic,500,8,4000
988,2013,6,Jun,Q2,ON,Ontario,Canada,Printer,Electronic,200,32,6400
989,2013,12,Dec,Q4,QU,Quebec,Canada,Chair,Furniture,120,21,2520
990,2014,8,Aug,Q3,NY,New York,USA,Laptop,Electronic,1000,42,42000
991,2013,6,Jun,Q2,NY,New York,USA,Laptop,Electronic,1000,2,2000
992,2014,4,Apr,Q2,CA,California,USA,Tablet,Electronic,500,14,7000
993,2014,6,Jun,Q2,NY,New York,USA,Printer,Electronic,200,60,12000
994,2013,4,Apr,Q2,NY,New York,USA,Printer,Electronic,200,7,1400
995,2014,12,Dec,Q4,NY,New York,USA,Tablet,Electronic,500,59,29500
996,2014,8,Aug,Q3,CA,California,USA,Laptop,Electronic,1000,21,21000
997,2013,10,Oct,Q4,NY,New York,USA,Printer,Electronic,200,48,9600
998,2013,6,Jun,Q2,NY,New York,USA,Tablet,Electronic,500,4,2000
999,2014,8,Aug,Q3,WA,Washington,USA,Chair,Furniture,120,53,6360
1000,2013,2,Feb,Q1,NY,New York,USA,Tablet,Electronic,500,64,32000
1001,2013,4,Apr,Q2,CA,California,USA,Laptop,Electronic,1000,15,15000
1002,2013,5,May,Q2,NY,New York,USA,Tablet,Electronic,500,50,25000
1003,2013,2,Feb,Q1,ON,Ontario,Canada,Laptop,Electronic,1000,11,11000
1004,2013,12,Dec,Q4,CA,California,USA,Chair,Furniture,120,2,240
1005,2013,7,Jul,Q3,CA,California,USA,Chair,Furniture,120,6,720
1006,2013,3,Mar,Q1,ON,Ontario,Canada,Laptop,Electronic,1000,66,66000
1007,2013,2,Feb,Q1,NY,New York,USA,Laptop,Electronic,1000,20,20000
1008,2013,8,Aug,Q3,NY,New York,USA,Tablet,Electronic,500,14,7000
1009,2014,6,Jun,Q2,CA,California,USA,Laptop,Electronic,1000,31,31000
1010,2014,12,Dec,Q4,CA,California,USA,Laptop,Electronic,1000,19,19000
1011,2013,12,Dec,Q4,QU,Quebec,Canada,Mattress,Furniture,800,0,0
1012,2014,4,Apr,Q2,WA,Washington,USA,Chair,Furniture,120,46,5520
1013,2014,11,Nov,Q4,ON,Ontario,Canada,Chair,Furniture,120,51,6120
1014,2013,10,Oct,Q4,WA,Washington,USA,Tablet,Electronic,500,4,2000
1015,2014,5,May,Q2,NY,New York,USA,Tablet,Electronic,500,59,29500
1016,2014,7,Jul,Q3,ON,Ontario,Canada,Tablet,Electronic,500,20,10000
1017,2014,3,Mar,Q1,CA,California,USA,Chair,Furniture,120,26,3120
1018,2013,9,Sep,Q3,QU,Quebec,Canada,Chair,Furniture,120,65,7800
1019,2013,3,Mar,Q1,QU,Quebec,Canada,Chair,Furniture,120,55,6600
1020,2014,2,Feb,Q1,NY,New York,USA,Mattress,Furniture,800,52,41600
1021,2014,2,Feb,Q1,CA,California,USA,Tablet,Electronic,500,61,30500
1022,2013,1,Jan,Q1,NY,New York,USA,Mattress,Furniture,800,37,29600
1023,2013,12,Dec,Q4,NY,New York,USA,Chair,Furniture,120,47,5640
1024,2014,11,Nov,Q4,QU,Quebec,Canada,Chair,Furniture,120,23,2760
1025,2014,12,Dec,Q4,ON,Ontario,Canada,Chair,Furniture,120,6,720
1026,2014,4,Apr,Q2,ON,Ontario,Canada,Tablet,Electronic,500,20,10000
1027,2014,11,Nov,Q4,CA,California,USA,Tablet,Electronic,500,7,3500
1028,2014,6,Jun,Q2,NY,New York,USA,Laptop,Electronic,1000,39,39000
1029,2013,5,May,Q2,NY,New York,USA,Tablet,Electronic,500,48,24000
1030,2014,9,Sep,Q3,ON,Ontario,Canada,Laptop,Electronic,1000,64,64000
1031,2013,5,May,Q2,CA,California,USA,Tablet,Electronic,500,60,30000
1032,2013,7,Jul,Q3,NY,New York,USA,Mattress,Furniture,800,7,5600
1033,2014,3,Mar,Q1,NY,New York,USA,Tablet,Electronic,500,59,29500
1034,2013,4,Apr,Q2,WA,Washington,USA,Tablet,Electronic,500,56,28000
1035,2013,11,Nov,Q4,NY,New York,USA,Chair,Furniture,120,62,7440
1036,2013,10,Oct,Q4,QU,Quebec,Canada,Chair,Furniture,120,65,7800
1037,2013,5,May,Q2,ON,Ontario,Canada,Laptop,Electronic,1000,60,60000
1038,2014,10,Oct,Q4,CA,California,USA,Chair,Furniture,120,27,3240
1039,2013,6,Jun,Q2,NY,New York,USA,Tablet,Electronic,500,33,16500
1040,2013,9,Sep,Q3,NY,New York,USA,Chair,Furniture,120,23,2760
1041,2014,3,Mar,Q1,ON,Ontario,Canada,Chair,Furniture,120,29,3480
1042,2013,3,Mar,Q1,NY,New York,USA,Printer,Electronic,200,24,4800
1043,2013,1,Jan,Q1,CA,California,USA,Tablet,Electronic,500,35,17500
1044,2014,2,Feb,Q1,CA,California,USA,Chair,Furniture,120,11,1320
1045,2014,7,Jul,Q3,NY,New York,USA,Tablet,Electronic,500,49,24500
1046,2014,3,Mar,Q1,CA,California,USA,Tablet,Electronic,500,49,24500
1047,2014,2,Feb,Q1,WA,Washington,USA,Printer,Electronic,200,30,6000
1048,2013,3,Mar,Q1,NY,New York,USA,Chair,Furniture,120,51,6120
1049,2013,1,Jan,Q1,ON,Ontario,Canada,Tablet,Electronic,500,48,24000
1050,2014,7,Jul,Q3,CA,California,USA,Laptop,Electronic,1000,1,1000
1051,2014,11,Nov,Q4,CA,California,USA,Laptop,Electronic,1000,5,5000
1052,2013,9,Sep,Q3,ON,Ontario,Canada,Chair,Furniture,120,1,120
1053,2013,4,Apr,Q2,QU,Quebec,Canada,Chair,Furniture,120,36,4320
1054,2014,2,Feb,Q1,ON,Ontario,Canada,Chair,Furniture,120,49,5880
1055,2013,5,May,Q2,ON,Ontario,Canada,Laptop,Electronic,1000,18,18000
1056,2013,5,May,Q2,CA,California,USA,Tablet,Electronic,500,20,10000
1057,2014,12,Dec,Q4,NY,New York,USA,Chair,Furniture,120,10,1200
1058,2013,2,Feb,Q1,ON,Ontario,Canada,Tablet,Electronic,500,59,29500
1059,2013,8,Aug,Q3,NY,New York,USA,Printer,Electronic,200,24,4800
1060,2013,7,Jul,Q3,QU,Quebec,Canada,Tablet,Electronic,500,31,15500
1061,2013,3,Mar,Q1,CA,California,USA,Mattress,Furniture,800,48,38400
1062,2013,9,Sep,Q3,NY,New York,USA,Printer,Electronic,200,63,12600
1063,2014,10,Oct,Q4,NY,New York,USA,Laptop,Electronic,1000,24,24000
1064,2013,4,Apr,Q2,NY,New York,USA,Chair,Furniture,120,60,7200
